stateabb,ccode,year,irst,milex,milper,energy,tpop,upop,cinc,version
CAN,20,1949,2892,370149,47,63490,13475,3113,0.0128127,3.02
CAN,20,1950,3070,447964,45,60887,13737,3186,0.0126052,3.02
CAN,20,1951,3237,1150942,62,64945,14050,3261,0.0135349,3.02
CAN,20,1952,3359,1843656,102,64874,14496,3337,0.0142038,3.02
CAN,20,1953,3734,2028835,104,67118,14886,3415,0.0142199,3.02
CAN,20,1954,2898,1818274,108,67691,15330,3496,0.0133412,3.02
CAN,20,1955,4114,1883021,112,72628,15736,3578,0.0131893,3.02
CAN,20,1956,4809,1889889,116,83921,16123,3664,0.0137401,3.02
CAN,20,1957,4598,1905207,121,82785,16677,3750,0.0132152,3.02
CAN,20,1958,3955,1766497,119,84364,17120,3841,0.0126075,3.02
CAN,20,1959,5354,1703318,120,90080,17522,3934,0.0128396,3.02
CAN,20,1960,5270,1735570,121,94926,17909,4049,0.0124581,3.02
CAN,20,1961,5886,1722891,124,99412,18238,4154,0.0125825,3.02
CAN,20,1962,6507,1735210,124,109109,18614,4247,0.0126444,3.02
CAN,20,1963,7436,1588421,120,112561,18964,4399,0.0124641,3.02
CAN,20,1964,8282,1677304,120,128155,19325,4554,0.0127745,3.02
CAN,20,1965,9132,1544548,120,135644,19678,4702,0.0127635,3.02
CAN,20,1966,9093,1642790,110,141051,20048,4645,0.0122009,3.02
CAN,20,1967,8797,1813063,105,151902,20412,4669,0.0120388,3.02
CAN,20,1968,10161,1782772,105,164716,20729,4692,0.0121105,3.02
CAN,20,1969,9350,1770133,100,172971,21028,4806,0.0114167,3.02
CAN,20,1970,11198,1920602,95,187107,21297,4920,0.0115407,3.02
CAN,20,1971,11040,2110319,85,199992,22962,5035,0.0117453,3.02
CAN,20,1972,11859,2260834,90,229201,22220,5149,0.0120726,3.02
CAN,20,1973,13386,2404759,82,244557,22494,5263,0.0120531,3.02
CAN,20,1974,13623,2926380,82,248105,22808,5377,0.0121758,3.02
CAN,20,1975,13025,3074729,78,248388,23142,5432,0.0121877,3.02
CAN,20,1976,13290,3639959,78,246939,23450,5487,0.0119159,3.02
CAN,20,1977,13581,3877762,78,256173,23726,5543,0.0119439,3.02
CAN,20,1978,14898,4016964,79,256723,23964,5598,0.0117836,3.02
CAN,20,1979,16078,4119005,79,273519,24202,5653,0.0118892,3.02
CAN,20,1980,15901,4387240,82,273041,24516,5713,0.0119081,3.02
CAN,20,1981,14811,5246444,81,261753,24820,6604,0.0118267,3.02
CAN,20,1982,11871,6182339,81,245622,25117,6989,0.0112484,3.02
CAN,20,1983,12832,6562003,81,244884,25367,7374,0.0113759,3.02
CAN,20,1984,14699,7195604,82,254795,25608,7759,0.0117272,3.02
CAN,20,1985,13459,6809000,83,254217,25843,8144,0.0112709,3.02
CAN,20,1986,14081,7180000,85,247269,26101,8530,0.011249,3.02
CAN,20,1987,14737,7960000,86,256252,26450,8915,0.0113637,3.02
CAN,20,1988,15193,8830000,88,276835,26798,9300,0.0115735,3.02
